Sheet,Reference,Pin,Function,Net,Status,Source
01_POWER,U6,1,TS,BAT_NTC,PIN VERIFIED; draft circuit,bq24074
05_DISPLAY,J3,TBD,LCD_MOSI,LCD_MOSI,UNCONNECTED INTENT; not an IC pin,
05_DISPLAY,J3,TBD,LCD_CS,LCD_CS,UNCONNECTED INTENT; not an IC pin,
05_DISPLAY,J3,TBD,LCD_DC,LCD_DC,UNCONNECTED INTENT; not an IC pin,
05_DISPLAY,J3,TBD,LCD_RST,LCD_RST,UNCONNECTED INTENT; not an IC pin,
05_DISPLAY,J3,TBD,LCD_BL,LCD_BL,UNCONNECTED INTENT; not an IC pin,
05_DISPLAY,J3,TBD,TP_SCL,TP_SCL,UNCONNECTED INTENT; not an IC pin,
05_DISPLAY,J3,TBD,TP_SDA,TP_SDA,UNCONNECTED INTENT; not an IC pin,
05_DISPLAY,J3,TBD,TP_INT,TP_INT,UNCONNECTED INTENT; not an IC pin,
06_AUDIO,MIC1,TBD,MIC_SUPPLY_TBD,MIC_SUPPLY_TBD,UNCONNECTED INTENT; not an IC pin,
06_AUDIO,MIC1,TBD,MIC1_P,MIC1_P,UNCONNECTED INTENT; not an IC pin,
06_AUDIO,MIC1,TBD,GND,GND,UNCONNECTED INTENT; not an IC pin,
06_AUDIO,J4,TBD,SPK_P,SPK_P,UNCONNECTED INTENT; not an IC pin,
06_AUDIO,J4,TBD,SPK_N,SPK_N,UNCONNECTED INTENT; not an IC pin,
06_AUDIO,U9,1,CCLK,I2C_SCL,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,2,MCLK,AUDIO_MCLK,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,3,PVDD,+3V3_SYS,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,4,DVDD,+3V3_SYS,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,5,DGND,GND,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,6,SCLK/DMIC_SCL,I2S0_BCLK,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,7,ASDOUT,I2S0_DIN,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,8,LRCK,I2S0_LRCK,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,9,DSDIN,I2S0_DOUT,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,10,AGND,GND,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,11,AVDD,+3V3_SYS,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,12,OUTP,CODEC_DAC_P,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,13,OUTN,CODEC_DAC_N,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,14,DACVREF,CODEC_DACVREF,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,15,ADCVREF,CODEC_ADCVREF,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,16,VMID,CODEC_VMID,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,17,MIC1N,CODEC_MIC_N,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,18,MIC1P/DMIC_SDA,CODEC_MIC_P,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,19,CDATA,I2C_SDA,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U9,20,CE,GND,PIN VERIFIED; draft circuit,es8311
06_AUDIO,U10,1,SHDN_N,AMP_SD,PIN VERIFIED; draft circuit,pam8302
06_AUDIO,U10,2,NC,NC,PIN VERIFIED; draft circuit,pam8302
06_AUDIO,U10,3,IN+,AMP_IN_P,PIN VERIFIED; draft circuit,pam8302
06_AUDIO,U10,4,IN-,AMP_IN_N,PIN VERIFIED; draft circuit,pam8302
06_AUDIO,U10,5,VO+,SPK_P,PIN VERIFIED; draft circuit,pam8302
06_AUDIO,U10,6,VDD,VBAT,PIN VERIFIED; draft circuit,pam8302
06_AUDIO,U10,7,GND,GND,PIN VERIFIED; draft circuit,pam8302
06_AUDIO,U10,8,VO-,SPK_N,PIN VERIFIED; draft circuit,pam8302
06_AUDIO,C601,1,C,+3V3_SYS,logical terminal; footprint TBD,design
06_AUDIO,C601,2,C,GND,logical terminal; footprint TBD,design
06_AUDIO,C602,1,C,+3V3_SYS,logical terminal; footprint TBD,design
06_AUDIO,C602,2,C,GND,logical terminal; footprint TBD,design
06_AUDIO,C603,1,C,+3V3_SYS,logical terminal; footprint TBD,design
06_AUDIO,C603,2,C,GND,logical terminal; footprint TBD,design
06_AUDIO,C604,1,C,+3V3_SYS,logical terminal; footprint TBD,design
06_AUDIO,C604,2,C,GND,logical terminal; footprint TBD,design
06_AUDIO,C605,1,C,CODEC_DACVREF,logical terminal; footprint TBD,design
06_AUDIO,C605,2,C,GND,logical terminal; footprint TBD,design
06_AUDIO,C606,1,C,CODEC_ADCVREF,logical terminal; footprint TBD,design
06_AUDIO,C606,2,C,GND,logical terminal; footprint TBD,design
06_AUDIO,C607,1,C,CODEC_VMID,logical terminal; footprint TBD,design
06_AUDIO,C607,2,C,GND,logical terminal; footprint TBD,design
06_AUDIO,C608,1,C,MIC1_P,logical terminal; footprint TBD,design
06_AUDIO,C608,2,C,CODEC_MIC_P,logical terminal; footprint TBD,design
06_AUDIO,C609,1,C,MIC1_N,logical terminal; footprint TBD,design
06_AUDIO,C609,2,C,CODEC_MIC_N,logical terminal; footprint TBD,design
06_AUDIO,C610,1,C,CODEC_DAC_P,logical terminal; footprint TBD,design
06_AUDIO,C610,2,C,AMP_IN_P,logical terminal; footprint TBD,design
06_AUDIO,C611,1,C,CODEC_DAC_N,logical terminal; footprint TBD,design
06_AUDIO,C611,2,C,AMP_IN_N,logical terminal; footprint TBD,design
06_AUDIO,C612,1,C,VBAT,logical terminal; footprint TBD,design
06_AUDIO,C612,2,C,GND,logical terminal; footprint TBD,design
06_AUDIO,C613,1,C,VBAT,logical terminal; footprint TBD,design
06_AUDIO,C613,2,C,GND,logical terminal; footprint TBD,design
06_AUDIO,C614,1,C,AMP_SD,logical terminal; footprint TBD,design
06_AUDIO,C614,2,C,GND,logical terminal; footprint TBD,design
06_AUDIO,R601,1,R,VBAT,logical terminal; footprint TBD,design
06_AUDIO,R601,2,R,AMP_SD,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,U11,1,REG,HAPTIC_REG,PIN VERIFIED; draft circuit,drv2605l
07_HAPTIC_BUTTONS,U11,2,SCL,I2C_SCL,PIN VERIFIED; draft circuit,drv2605l
07_HAPTIC_BUTTONS,U11,3,SDA,I2C_SDA,PIN VERIFIED; draft circuit,drv2605l
07_HAPTIC_BUTTONS,U11,4,IN_TRIG,GND,PIN VERIFIED; draft circuit,drv2605l
07_HAPTIC_BUTTONS,U11,5,EN,HAPTIC_EN,PIN VERIFIED; draft circuit,drv2605l
07_HAPTIC_BUTTONS,U11,6,VDD_NC,+3V3_SYS,PIN VERIFIED; draft circuit,drv2605l
07_HAPTIC_BUTTONS,U11,7,OUT_P,HAPTIC_P,PIN VERIFIED; draft circuit,drv2605l
07_HAPTIC_BUTTONS,U11,8,GND,GND,PIN VERIFIED; draft circuit,drv2605l
07_HAPTIC_BUTTONS,U11,9,OUT_N,HAPTIC_N,PIN VERIFIED; draft circuit,drv2605l
07_HAPTIC_BUTTONS,U11,10,VDD,+3V3_SYS,PIN VERIFIED; draft circuit,drv2605l
07_HAPTIC_BUTTONS,J6,TBD,HAPTIC_P,HAPTIC_P,UNCONNECTED INTENT; not an IC pin,
07_HAPTIC_BUTTONS,J6,TBD,HAPTIC_N,HAPTIC_N,UNCONNECTED INTENT; not an IC pin,
07_HAPTIC_BUTTONS,C701,1,C,HAPTIC_REG,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,C701,2,C,GND,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,C702,1,C,+3V3_SYS,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,C702,2,C,GND,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,C703,1,C,+3V3_SYS,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,C703,2,C,GND,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,R701,1,R,+3V3_SYS,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,R701,2,R,HAPTIC_EN,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,SW1,1,SW,BTN_SOS_CONTACT,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,SW1,2,SW,GND,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,R711,1,R,BTN_SOS_CONTACT,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,R711,2,R,BTN_SOS,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,R712,1,R,+3V3_SYS,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,R712,2,R,BTN_SOS,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,C711,1,C,BTN_SOS,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,C711,2,C,GND,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,SW2,1,SW,BTN_AI_CONTACT,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,SW2,2,SW,GND,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,R713,1,R,BTN_AI_CONTACT,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,R713,2,R,BTN_AI,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,R714,1,R,+3V3_SYS,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,R714,2,R,BTN_AI,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,C712,1,C,BTN_AI,logical terminal; footprint TBD,design
07_HAPTIC_BUTTONS,C712,2,C,GND,logical terminal; footprint TBD,design
08_DEBUG_TEST,J1,1,5V,VBUS_5V,PIN VERIFIED; draft circuit,
08_DEBUG_TEST,J1,2,GND,GND,PIN VERIFIED; draft circuit,
08_DEBUG_TEST,J1,3,TX,POGO_UART_TX,PIN VERIFIED; draft circuit,
08_DEBUG_TEST,J1,4,RX,POGO_UART_RX,PIN VERIFIED; draft circuit,
08_DEBUG_TEST,R801,1,R,UART0_TX,logical terminal; footprint TBD,design
08_DEBUG_TEST,R801,2,R,POGO_UART_TX,logical terminal; footprint TBD,design
08_DEBUG_TEST,R802,1,R,POGO_UART_RX,logical terminal; footprint TBD,design
08_DEBUG_TEST,R802,2,R,UART0_RX,logical terminal; footprint TBD,design
08_DEBUG_TEST,D3,TBD,POGO_UART_TX,POGO_UART_TX,UNCONNECTED INTENT; not an IC pin,
08_DEBUG_TEST,D3,TBD,POGO_UART_RX,POGO_UART_RX,UNCONNECTED INTENT; not an IC pin,
08_DEBUG_TEST,D3,TBD,GND,GND,UNCONNECTED INTENT; not an IC pin,
08_DEBUG_TEST,TP1,1,TP,VBUS_5V,project-defined test pad,design
08_DEBUG_TEST,TP2,1,TP,VBAT,project-defined test pad,design
08_DEBUG_TEST,TP3,1,TP,VBAT_MODEM,project-defined test pad,design
08_DEBUG_TEST,TP4,1,TP,+3V3_SYS,project-defined test pad,design
08_DEBUG_TEST,TP5,1,TP,+1V8,project-defined test pad,design
08_DEBUG_TEST,TP6,1,TP,GND,project-defined test pad,design
08_DEBUG_TEST,TP7,1,TP,UART0_TX,project-defined test pad,design
08_DEBUG_TEST,TP8,1,TP,UART0_RX,project-defined test pad,design
08_DEBUG_TEST,TP9,1,TP,I2C_SCL,project-defined test pad,design
08_DEBUG_TEST,TP10,1,TP,I2C_SDA,project-defined test pad,design
08_DEBUG_TEST,TP11,1,TP,MODEM_TX,project-defined test pad,design
08_DEBUG_TEST,TP12,1,TP,MODEM_RX,project-defined test pad,design
08_DEBUG_TEST,TP13,1,TP,MODEM_PWRKEY,project-defined test pad,design
08_DEBUG_TEST,TP14,1,TP,ESP_USB_DP,project-defined test pad,design
08_DEBUG_TEST,TP15,1,TP,ESP_USB_DM,project-defined test pad,design
08_DEBUG_TEST,TP16,1,TP,MODEM_USB_DP,project-defined test pad,design
08_DEBUG_TEST,TP17,1,TP,MODEM_USB_DM,project-defined test pad,design
08_DEBUG_TEST,TP18,1,TP,ESP_EN,project-defined test pad,design
08_DEBUG_TEST,TP19,1,TP,ESP_BOOT,project-defined test pad,design
08_DEBUG_TEST,TP20,1,TP,CHG_STATUS,project-defined test pad,design
08_DEBUG_TEST,TP21,1,TP,PGOOD,project-defined test pad,design
01_POWER,R109,1,R,SYS,logical terminal; footprint TBD,tps63070
01_POWER,R109,2,R,DCDC_CTRL,logical terminal; footprint TBD,tps63070
06_AUDIO,MIC1,TBD,MIC1_N,MIC1_N,UNCONNECTED INTENT; not an IC pin,
